categoria,nome,preco,link
RÅSKOG,"Trolley,",45,https://www.ikea.com/ie/en/p/raskog-trolley-white-20382932/
RÅSHULT,"Trolley,",35,https://www.ikea.com/ie/en/p/rashult-trolley-white-20463056/
NISSAFORS,"Trolley,",30,https://www.ikea.com/ie/en/p/nissafors-trolley-black-20399777/
VESKEN,"Trolley,",12,https://www.ikea.com/ie/en/p/vesken-trolley-white-00471222/
RÅSKOG,"Trolley,",45,https://www.ikea.com/ie/en/p/raskog-trolley-white-20382932/
RÅSHULT,"Trolley,",35,https://www.ikea.com/ie/en/p/rashult-trolley-white-20463056/
NISSAFORS,"Trolley,",30,https://www.ikea.com/ie/en/p/nissafors-trolley-black-20399777/
VESKEN,"Trolley,",12,https://www.ikea.com/ie/en/p/vesken-trolley-white-00471222/
HORNAVAN,"Trolley,",19,https://www.ikea.com/ie/en/p/hornavan-trolley-white-70243873/
BEKVÄM,"Kitchen trolley,",69,https://www.ikea.com/ie/en/p/bekvaem-kitchen-trolley-birch-30240348/
HÖGSMA,"Chopping board,",10,https://www.ikea.com/ie/en/p/hoegsma-chopping-board-bamboo-90446619/
RISATORP,"Trolley,",65,https://www.ikea.com/ie/en/p/risatorp-trolley-white-20281631/
STENSTORP,"Kitchen trolley,",149,https://www.ikea.com/ie/en/p/stenstorp-kitchen-trolley-white-oak-40201916/
ENHET,"Kitchen isl storage comb w seating,",187,https://www.ikea.com/ie/en/p/enhet-kitchen-isl-storage-comb-w-seating-white-s59331569/
VADHOLMA,"Kitchen island,",299,https://www.ikea.com/ie/en/p/vadholma-kitchen-island-black-oak-40366115/
TORNVIKEN,"Kitchen island,",329,https://www.ikea.com/ie/en/p/tornviken-kitchen-island-off-white-oak-40391657/
VADHOLMA,Rack for kitchen island,79,https://www.ikea.com/ie/en/p/vadholma-rack-for-kitchen-island-black-80402381/
TROTTEN,"Trolley,",115,https://www.ikea.com/ie/en/p/trotten-trolley-white-80474764/
RIMFORSA,"Work bench,",529,https://www.ikea.com/ie/en/p/rimforsa-work-bench-stainless-steel-bamboo-90399284/
VADHOLMA,"Kitchen island,",420,https://www.ikea.com/ie/en/p/vadholma-kitchen-island-black-oak-20359154/
BROR,"Trolley,",129,https://www.ikea.com/ie/en/p/bror-trolley-black-pine-plywood-60333850/
BROR,"Work bench,",150,https://www.ikea.com/ie/en/p/bror-work-bench-black-pine-plywood-30333286/
FÖRHÖJA,"Kitchen trolley,",129,https://www.ikea.com/ie/en/p/foerhoeja-kitchen-trolley-birch-80035920/
VADHOLMA,"Kitchen island with rack,",499,https://www.ikea.com/ie/en/p/vadholma-kitchen-island-with-rack-black-oak-s59276228/
FLYTTA,"Kitchen trolley,",149,https://www.ikea.com/ie/en/p/flytta-kitchen-trolley-stainless-steel-00058487/
RÖNNINGE,"Trolley,",149,https://www.ikea.com/ie/en/p/roenninge-trolley-birch-50507488/
